Iniciando testes de Rede...

Iniciando bateria: 8... 

Iniciando rodada de testes: 1 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 12:41:22 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
2048                   4752.57
4096                   6790.42
8192                  10531.17
16384                 17801.37
32768                 31931.28
65536                 60662.66
131072               117857.01
262144               232040.85
524288               461548.56
1048576              926002.94
Rodada 2 bateria: 12 
Iniciando rodada de testes: 3 bateria: 12

Iniciando teste osu_allgather_ sáb 26 ago 2023 04:28:06 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.69
1                      2499.33
2                      2778.39
4                      2790.20
8                      2807.49
16                     2803.83
32                     2838.80
64                     3993.27
128                    4761.16
256                    6760.70
512                    6940.25
1024                   7849.17
2048                   8883.24
4096                  13430.88
8192                  30038.42
16384                 50999.23
32768                 79060.40
65536                139825.75
131072               282479.56
262144               538154.62
524288              1040297.50
1048576             2103472.38
Iniciando teste osu_alltoall_ sáb 26 ago 2023 04:54:05 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.47
1                      3208.23
2                      3072.51
4                      3039.88
8                      3078.12
16                     3151.27
32                     3352.17
64                     5412.91
128                    7721.52
256                    8320.72
512                    8936.50
1024                  12515.47
2048                  13303.98
4096                  16340.51
8192                  29921.99
16384                 79420.84
32768                106667.96
65536                155031.09
131072               344013.22
262144               714840.61
524288              1545738.91
1048576             3218246.71
Iniciando teste osu_alltoallv_ sáb 26 ago 2023 05:07:51 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.61
1                      4911.43
2                      4923.68
4                      4661.43
8                      4689.82
16                     4729.64
32                     4916.74
64                     4991.33
128                    5115.15
256                    7855.34
512                    8688.70
1024                  13113.19
2048                  13775.15
4096                  16398.37
8192                  31668.16
16384                 85121.39
